iter	RMSE
0	1022636.746
1	986309.092
2	950132.7377
3	915537.9815
44	876325.244655	845135.22416	820623.28
7	791544.4515
8	764097.3103
9	736482.4839
10	710255.0317
11	684931.9695
12	661163.7255
13	637572.6914
14	615017.5085
15	594394.071
16	573710.1232
17	554305.2506
18	535256.1393
19	517086.7607
20	499633.154
21	484168.5901
22	468386.9856
23	452879.9588
24	438085.4046
25	424460.4886
26	410682.9385
27	398297.6516
28	386261.366
29	374710.4689
30	363401.3766
31	352548.1807
32	342261.3744
33	332264.6199
34	323037.8264
35	313971.6306
36	305569.4859
37	297458.9486
38	289654.4352
39	282185.7985
40	275187.4187
41	268763.7087
42	262348.4698
43	256053.6238
44	250344.1872
45	244796.9465
46	239504.0504
47	234185.0388
48	229359.5906
49	224718.1293
50	220623.2974
51	216875.5945
52	213226.0946
53	209658.6129
68

54	210857.3794
55	207437.1648
