iter	Passed	Remaining
0	59	59036
1	118	59372
2	183	61029
3	253	63017
4	325	64682
5	399	66220
6	478	67823
7	554	68787
8	631	69550
9	712	70534
10	794	71431
11	875	72115
12	956	72657
13	1036	73018
14	1116	73284
15	1201	73863
16	1282	74131
17	1358	74135
18	1436	74179
19	1517	74381
20	1597	74472
21	1678	74595
22	1759	74729
23	1839	74812
24	1920	74890
25	2000	74930
26	2079	74933
27	2160	74993
28	2239	74990
29	2318	74959
30	2397	74948
31	2479	75000
32	2559	75013
33	2639	75004
34	2722	75075
35	2803	75063
36	2882	75016
37	2962	74988
38	3044	75026
39	3124	74987
40	3205	74982
41	3287	74995
42	3368	74965
43	3447	74902
44	3526	74844
45	3605	74783
46	3691	74843
47	3773	74837
48	3853	74786
49	3933	74728
50	4013	74679
51	4097	74694
52	4175	74606
53	4256	74560
54	4334	74477
55	4412	74390
56	4493	74345
57	4569	74208
58	4651	74180
59	4732	74145
60	4810	74045
61	4889	73972
62	4970	73919
63	5049	73841
64	5127	73762
65	5208	73704
66	5284	73594
67	5361	73488
68	5440	73411
69	5523	73379
70	5605	73342
71	5686	73287
72	5766	73232
73	5847	73178
74	5925	73081
75	6003	72995
76	6087	72966
77	6165	72882
78	6249	72853
79	6325	72748
80	6407	72699
81	6487	72630
82	6569	72580
83	6649	72512
84	6727	72417
85	6806	72340
86	6886	72267
87	6966	72198
88	7044	72111
89	7129	72085
90	7211	72033
91	7291	71963
92	7368	71865
93	7448	71792
94	7532	71759
95	7614	71707
96	7692	71608
97	7774	71560
98	7859	71525
99	7941	71470
100	8018	71371
101	8095	71276
102	8173	71181
103	8253	71104
104	8334	71042
105	8411	70944
106	8489	70852
107	8564	70739
108	8646	70677
109	8729	70633
110	8808	70545
111	8890	70487
112	8967	70391
113	9044	70294
114	9122	70203
115	9202	70133
116	9284	70073
117	9368	70028
118	9449	69958
119	9526	69862
120	9608	69802
121	9687	69720
122	9774	69694
123	9867	69706
124	9949	69645
125	10030	69579
126	10108	69482
127	10190	69423
128	10270	69348
129	10353	69291
130	10433	69211
131	10513	69136
132	10596	69074
133	10695	69120
134	10794	69165
135	10878	69108
136	10959	69037
137	11044	68990
138	11175	69220
139	11292	69365
140	11381	69339
141	11470	69307
142	11556	69259
143	11640	69197
144	11740	69225
145	11860	69376
146	11951	69353
147	12033	69272
148	12117	69207
149	12199	69127
150	12276	69024
151	12357	68939
152	12441	68875
153	12523	68798
154	12601	68700
155	12681	68612
156	12764	68540
157	12846	68458
158	12925	68369
159	13005	68277
160	13085	68192
161	13168	68118
162	13259	68086
163	13343	68017
164	13421	67920
165	13508	67868
166	13588	67780
167	13665	67677
168	13753	67629
169	13833	67539
170	13919	67482
171	14003	67412
172	14082	67317
173	14162	67229
174	14243	67147
175	14327	67078
176	14407	66992
177	14486	66898
178	14570	66829
179	14647	66729
180	14735	66674
181	14816	66592
182	14901	66525
183	14979	66430
184	15059	66344
185	15146	66287
186	15230	66216
187	15307	66113
188	15383	66012
189	15468	65943
190	15548	65856
191	15634	65795
